Restaurant ID,Restaurant Name,Country,City,User Rating Votes,User Aggregate Rating,Cuisines,Event Data
18649486,The Drunken Botanist,India,Gurgaon,4765,4.4,"Continental, Italian, North Indian, Chinese","[{'event': {'event_id': 322331, 'friendly_start_date': '06 March', 'friendly_end_date': '28 August', 'friendly_timing_str': 'Wednesday, 6th March - Wednesday, 28th August', 'start_date': '2019-03-06', 'end_date': '2019-08-28', 'end_time': '23:59:59', 'start_time': '20:00:00', 'is_active': 1, 'date_added': '2019-03-06 11:41:21', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/5a1/ac34cf3c271c9052e9d248c243df65a1_1551852711.jpg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/5a1/ac34cf3c271c9052e9d248c243df65a1_1551852711.jpg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': 'ac34cf3c271c9052e9d248c243df65a1', 'id': 434436, 'photo_id': 434436, 'uuid': 52695233531, 'type': 'FEATURED'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'BackToBasic Wednesdays !!\n\n\n', 'description': 'https://www.facebook.com/events/347477306085841/?ti=cl\n\nThe twilight and timbre, the delicious drinks and vibrant crowd. Are you ready to make Wednesdays awesome again with Rock Nights & sensational new Bands every week? Then you know where to find me! \n\nAlways High, Always Rocking only at TDB.', 'display_time': '08:00 pm onwards', 'display_date': '06 March - 28 August', 'is_end_time_set': 0, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 1, 'event_category_name': '', 'book_link': '', 'types': [], 'share_data': {'should_show': 0}}}]"
308322,Hauz Khas Social,India,New Delhi,13627,4.6,"Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages","[{'event': {'event_id': 332812, 'friendly_start_date': '29 March', 'friendly_end_date': '23 May', 'friendly_timing_str': 'Friday, 29th March - Thursday, 23rd May', 'start_date': '2019-03-29', 'end_date': '2019-05-23', 'end_time': '01:35:00', 'start_time': '09:00:00', 'is_active': 1, 'date_added': '2019-03-29 17:19:54', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': 'de21c69b73b6220731a4191883338e11', 'id': 448293, 'photo_id': 448293, 'uuid': 1553860184257557, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Live 20/20 Match Screenings', 'description': ""Catch the biggest cricket event of the year live while sippin' on these killer LIITs! Head on over to your nearest #Social to get a taste of these #SocialStumps while you cheer for your favourite team!"", 'display_time': '09:00 am - 01:35 am', 'display_date': '29 March - 23 May', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 0, 'event_category_name': '', 'book_link': '', 'types': [], 'share_data': {'should_show': 0}}}]"
18856789,AIR- An Ivory Region,India,New Delhi,1819,4.1,"North Indian, Chinese, Continental, Asian","[{'event': {'event_id': 336644, 'friendly_start_date': '10 April', 'friendly_end_date': '11 April', 'friendly_timing_str': 'Wednesday, 10th April - Thursday, 11th April', 'start_date': '2019-04-10', 'end_date': '2019-04-11', 'end_time': '00:00:00', 'start_time': '21:00:00', 'is_active': 1, 'date_added': '2019-04-08 12:04:49', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/46f/1c1651fcd360fe1468cfc06125b1646f_1554705305.jpg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/46f/1c1651fcd360fe1468cfc06125b1646f_1554705305.jpg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': '1c1651fcd360fe1468cfc06125b1646f', 'id': 453587, 'photo_id': 453587, 'uuid': 1554705309948923, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Dhol Bhangra Night', 'description': 'If you want to party hard then we have the most amazing DJs lined up for you at Dhol Bhangra Night. So be there and enjoy a great time. \n\nFor Reservation: 9999122038, 9999122074', 'display_time': '09:00 pm - 12:00 am', 'display_date': '10 April - 11 April', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 0, 'event_category_name': '', 'book_link': '', 'types': [{'name': 'Bollywood Night', 'color': '#6454B8'}], 'share_data': {'should_show': 0}}}]"
18382360,Local,India,New Delhi,5694,4.3,"North Indian, Continental, Momos","[{'event': {'event_id': 336889, 'friendly_start_date': '10 April', 'friendly_end_date': '10 April', 'friendly_timing_str': 'Wednesday, 10th April', 'start_date': '2019-04-10', 'end_date': '2019-04-10', 'end_time': '23:00:00', 'start_time': '16:00:00', 'is_active': 1, 'date_added': '2019-04-08 17:58:00', 'photos': [], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Cocktail Wednesday', 'description': 'Whack your worries this Wednesday with unlimited cocktails, unlimited memories and unlimited fun only at Local.\nCall for reservations: 09599553145 \n\ndownload the android or iOs app now: http://bit.ly/2HQ2mjQ\nhttps://apple.co/2rmP7fj', 'display_time': '04:00 pm - 11:00 pm', 'display_date': '10 April', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 0, 'event_category_name': '', 'book_link': '', 'types': [{'name': 'Cocktail Mixology', 'color': '#C32A6B'}], 'share_data': {'should_show': 0}}}, {'event': {'event_id': 336888, 'friendly_start_date': '10 April', 'friendly_end_date': '10 April', 'friendly_timing_str': 'Wednesday, 10th April', 'start_date': '2019-04-10', 'end_date': '2019-04-10', 'end_time': '23:55:00', 'start_time': '20:00:00', 'is_active': 1, 'date_added': '2019-04-08 17:56:33', 'photos': [], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Cocktail Wednesday', 'description': 'Whack your worries this Wednesday with unlimited cocktails, unlimited memories and unlimited fun only at Local.\nCall for reservations: 09599553145 \n\ndownload the android or iOs app now: http://bit.ly/2HQ2mjQ\nhttps://apple.co/2rmP7fj', 'display_time': '08:00 pm - 11:55 pm', 'display_date': '10 April', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 0, 'event_category_name': '', 'book_link': '', 'types': [{'name': 'Cocktail Mixology', 'color': '#C32A6B'}], 'share_data': {'should_show': 0}}}, {'event': {'event_id': 336890, 'friendly_start_date': '10 April', 'friendly_end_date': '10 April', 'friendly_timing_str': 'Wednesday, 10th April', 'start_date': '2019-04-10', 'end_date': '2019-04-10', 'end_time': '23:55:00', 'start_time': '20:00:00', 'is_active': 1, 'date_added': '2019-04-08 17:59:18', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/193/bed72acb4c93b8affeba209ccad08193_1554726578.jpg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/193/bed72acb4c93b8affeba209ccad08193_1554726578.jpg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': 'bed72acb4c93b8affeba209ccad08193', 'id': 453897, 'photo_id': 453897, 'uuid': 1554726575991324, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Cocktail Wednesday', 'description': 'Whack your worries this Wednesday with unlimited cocktails, unlimited memories and unlimited fun only at Local.\nCall for reservations: 09599553145 \n\ndownload the android or iOs app now: http://bit.ly/2HQ2mjQ\nhttps://apple.co/2rmP7fj', 'display_time': '08:00 pm - 11:55 pm', 'display_date': '10 April', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 0, 'event_category_name': '', 'book_link': '', 'types': [{'name': 'Cocktail Mixology', 'color': '#C32A6B'}], 'share_data': {'should_show': 0}}}, {'event': {'event_id': 336894, 'friendly_start_date': '12 April', 'friendly_end_date': '12 April', 'friendly_timing_str': 'Friday, 12th April', 'start_date': '2019-04-12', 'end_date': '2019-04-12', 'end_time': '23:00:00', 'start_time': '20:00:00', 'is_active': 1, 'date_added': '2019-04-08 18:05:01', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/f6c/0aea33156c313eef2343ac6f0e0a5f6c_1554726952.jpg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/f6c/0aea33156c313eef2343ac6f0e0a5f6c_1554726952.jpg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': '0aea33156c313eef2343ac6f0e0a5f6c', 'id': 453908, 'photo_id': 453908, 'uuid': 1554726949554829, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Hip Hop Friday', 'description': 'Why be a bore on a Friday when we have organized Hip Hop Night for you #partyfreaks at Local CP. Right? So start gathering your buddies and head towards us as this is going to be great.\n\nFor Reservation:- 9599553145', 'display_time': '08:00 pm - 11:00 pm', 'display_date': '12 April', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 0, 'event_category_name': '', 'book_link': '', 'types': [{'name': 'Live DJ', 'color': '#6454B8'}], 'share_data': {'should_show': 0}}}, {'event': {'event_id': 336903, 'friendly_start_date': '13 April', 'friendly_end_date': '13 April', 'friendly_timing_str': 'Saturday, 13th April', 'start_date': '2019-04-13', 'end_date': '2019-04-13', 'end_time': '23:55:00', 'start_time': '20:00:00', 'is_active': 1, 'date_added': '2019-04-08 18:20:22', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/5ee/165894b7ce0bfd2812796a3f8c6f15ee_1554728236.jpg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/5ee/165894b7ce0bfd2812796a3f8c6f15ee_1554728236.jpg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': '165894b7ce0bfd2812796a3f8c6f15ee', 'id': 453924, 'photo_id': 453924, 'uuid': 1554728232603922, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Urban Saturday', 'description': 'Reenergize yourself by attending with your buddies Urban Saturday on 6th April at Local CP. Get ready for it in advance as Saurabh is assuring head-bobbing craziness.\n\nCall for reservations: 09599553145 \ndownload the android or iOs app now: http://bit.ly/2HQ2mjQ\nhttps://apple.co/2rmP7fj', 'display_time': '08:00 pm - 11:55 pm', 'display_date': '13 April', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 0, 'event_category_name': '', 'book_link': '', 'types': [{'name': 'Solo Performance', 'color': '#6454B8'}], 'share_data': {'should_show': 0}}}]"
18466951,Jungle Jamboree,India,Noida,2832,4.5,"North Indian, Continental, Chinese, BBQ","[{'event': {'event_id': 116096, 'friendly_start_date': '21 January', 'friendly_end_date': '31 May', 'friendly_timing_str': 'Monday, 21st January - Friday, 31st May', 'start_date': '2019-01-21', 'end_date': '2019-05-31', 'end_time': '23:00:00', 'start_time': '11:45:00', 'is_active': 1, 'date_added': '2017-03-27 14:50:48', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/847/acb0693c612ec13c15e618d4bf3cf847_1507619388.jpg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/847/acb0693c612ec13c15e618d4bf3cf847_1507619388.jpg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': 'acb0693c612ec13c15e618d4bf3cf847', 'id': 235171, 'photo_id': 235171, 'uuid': 1507619385639573, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Festive Food Bonanza || Special Buffet Prices starting @ Rs. 499 + || Full Day Alacarte', 'description': 'Come @ participate in the revelry at Jungle Jamboree Noida with humongous themes, giant animals, mystic Jungle, mesmerizing Aqua Zone, Machaan & much more. Savor the never ending 7 Course Buffet spread special pricing starting @ Rs. 499 + taxes and an all day Alacarte menu.!', 'display_time': '11:45 am - 11:00 pm', 'display_date': '21 January - 31 May', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 0, 'event_category_name': '', 'book_link': '', 'types': [], 'share_data': {'should_show': 0}}}, {'event': {'event_id': 161417, 'friendly_start_date': '21 January', 'friendly_end_date': '31 May', 'friendly_timing_str': 'Monday, 21st January - Friday, 31st May', 'start_date': '2019-01-21', 'end_date': '2019-05-31', 'end_time': '18:00:00', 'start_time': '16:00:00', 'is_active': 1, 'date_added': '2017-10-10 12:58:05', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/21a/7db6ab62451f0c3b57f0b17a42aaa21a_1552391084.jpg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/21a/7db6ab62451f0c3b57f0b17a42aaa21a_1552391084.jpg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': '7db6ab62451f0c3b57f0b17a42aaa21a', 'id': 438384, 'photo_id': 438384, 'uuid': 1552391018998755, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': '7 Course High Tea Birthday & Kitty Parties @ Rs. 499 + onwards with Unlimited Aerated Drinks', 'description': '7 Course High Tea Birthday & Kitty Parties @ Rs. 499 + taxes onwards with Unlimited Aerated Drinks & Rs. 599 + taxes with Unlimited Mocktails. Timings between 4 PM to 6 PM. For more call 7290901456, 7290901459.', 'display_time': '04:00 pm - 06:00 pm', 'display_date': '21 January - 31 May', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 0, 'event_category_name': '', 'book_link': '', 'types': [], 'share_data': {'should_show': 0}}}, {'event': {'event_id': 336622, 'friendly_start_date': '08 April', 'friendly_end_date': '13 April', 'friendly_timing_str': 'Monday, 8th April - Saturday, 13th April', 'start_date': '2019-04-08', 'end_date': '2019-04-13', 'end_time': '23:00:00', 'start_time': '11:45:00', 'is_active': 1, 'date_added': '2019-04-08 11:26:24', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/ffe/96d21e7be18ea0bbc2d7f44496697ffe_1554702984.jpg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/ffe/96d21e7be18ea0bbc2d7f44496697ffe_1554702984.jpg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': '96d21e7be18ea0bbc2d7f44496697ffe', 'id': 453557, 'photo_id': 453557, 'uuid': 1554702925699223, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Special Navratras Thali at just @399 +Taxes at Jungle Jamboree', 'description': 'Let’s join our hands in prayer and welcome the Divine Mother. May we all be blessed with wisdom and strength\nShubh Navratras to all..!!\n\nSpecial Navratras Thali at just @399 +Taxes at Jungle Jamboree\n\nCall 7290901456, 7290901459 for reservations.', 'display_time': '11:45 am - 11:00 pm', 'display_date': '08 April - 13 April', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 0, 'event_category_name': '', 'book_link': '', 'types': [{'name': 'Navratri', 'color': '#D39124'}], 'share_data': {'should_show': 0}}}]"
18337893,The Luggage Room Kitchen And Bar,India,New Delhi,1622,4.5,"Italian, Chinese, Continental","[{'event': {'event_id': 336251, 'friendly_start_date': '10 April', 'friendly_end_date': '11 April', 'friendly_timing_str': 'Wednesday, 10th April - Thursday, 11th April', 'start_date': '2019-04-10', 'end_date': '2019-04-11', 'end_time': '00:00:00', 'start_time': '20:00:00', 'is_active': 1, 'date_added': '2019-04-06 17:43:41', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/799/108cf02227f93ebf23d0931aad9c6799_1554553534.jpeg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/799/108cf02227f93ebf23d0931aad9c6799_1554553534.jpeg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': '108cf02227f93ebf23d0931aad9c6799', 'id': 452999, 'photo_id': 452999, 'uuid': 1554553486082778, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Commercial Night', 'description': 'Put on your dancing shoes and get ready for the biggest Commercial night with DJ Honey at The Luggage Room by Sandoz this Wednesday and get 25% off on total bill.\n\nFor reservation : 8820202052', 'display_time': '08:00 pm - 12:00 am', 'display_date': '10 April - 11 April', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 0, 'event_category_name': '', 'book_link': '', 'types': [{'name': 'Live DJ', 'color': '#6454B8'}], 'share_data': {'should_show': 0}}}, {'event': {'event_id': 336248, 'friendly_start_date': '11 April', 'friendly_end_date': '11 April', 'friendly_timing_str': 'Thursday, 11th April', 'start_date': '2019-04-11', 'end_date': '2019-04-11', 'end_time': '23:00:00', 'start_time': '20:00:00', 'is_active': 1, 'date_added': '2019-04-06 17:39:32', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/64f/6b5003ddf79e8c67cb0ce2e8a17aa64f_1554552608.jpeg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/64f/6b5003ddf79e8c67cb0ce2e8a17aa64f_1554552608.jpeg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': '6b5003ddf79e8c67cb0ce2e8a17aa64f', 'id': 452993, 'photo_id': 452993, 'uuid': 1554552603794542, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Ladies Night', 'description': ""Bring your sophistication and blend it with the crazy vibes we at The Luggage Room by Sandoz have created for you, Ladies.  What is the occasion?? It's Ladies Night. Guess you already started calling your GFs. Right?\n\nFor Reservation: 8820202052"", 'display_time': '08:00 pm - 11:00 pm', 'display_date': '11 April', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 0, 'event_category_name': '', 'book_link': '', 'types': [{'name': 'Ladies Night', 'color': '#0AAC9B'}], 'share_data': {'should_show': 0}}}]"
18246991,Odeon Social,India,New Delhi,5808,4.4,"Continental, American, Asian, North Indian, Momos, Beverages","[{'event': {'event_id': 332812, 'friendly_start_date': '29 March', 'friendly_end_date': '23 May', 'friendly_timing_str': 'Friday, 29th March - Thursday, 23rd May', 'start_date': '2019-03-29', 'end_date': '2019-05-23', 'end_time': '01:35:00', 'start_time': '09:00:00', 'is_active': 1, 'date_added': '2019-03-29 17:19:54', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': 'de21c69b73b6220731a4191883338e11', 'id': 448293, 'photo_id': 448293, 'uuid': 1553860184257557, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Live 20/20 Match Screenings', 'description': ""Catch the biggest cricket event of the year live while sippin' on these killer LIITs! Head on over to your nearest #Social to get a taste of these #SocialStumps while you cheer for your favourite team!"", 'display_time': '09:00 am - 01:35 am', 'display_date': '29 March - 23 May', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 0, 'event_category_name': '', 'book_link': '', 'types': [], 'share_data': {'should_show': 0}}}]"
